Check failed for (fp64): alpha = 5.53548625562522; beta = 1.3838715639063; diff = 8.88178419700125e-16; 881/1000
Check failed for (fp64): alpha = 5.54176944093239; beta = 1.3854423602331; diff = 8.88178419700125e-16; 882/1000
Check failed for (fp64): alpha = 5.59831810869701; beta = 1.39957952717425; diff = 8.88178419700125e-16; 891/1000
Check failed for (fp64): alpha = 5.61088447931137; beta = 1.40272111982784; diff = 1.77635683940025e-15; 893/1000
Check failed for (fp64): alpha = 5.61716766461855; beta = 1.40429191615464; diff = 8.88178419700125e-16; 894/1000
Check failed for (fp64): alpha = 5.62973403523291; beta = 1.40743350880823; diff = 8.88178419700125e-16; 896/1000
Check failed for (fp64): alpha = 5.64230040584727; beta = 1.41057510146182; diff = 1.77635683940025e-15; 898/1000
Check failed for (fp64): alpha = 5.66114996176881; beta = 1.4152874904422; diff = 1.77635683940025e-15; 901/1000
Check failed for (fp64): alpha = 5.70513225891906; beta = 1.42628306472977; diff = 1.77635683940025e-15; 908/1000
Check failed for (fp64): alpha = 5.71141544422624; beta = 1.42785386105656; diff = 1.77635683940025e-15; 909/1000
Check failed for (fp64): alpha = 5.71769862953342; beta = 1.42942465738336; diff = 1.77635683940025e-15; 910/1000
Check failed for (fp64): alpha = 5.7239818148406; beta = 1.43099545371015; diff = 1.77635683940025e-15; 911/1000
Check failed for (fp64): alpha = 5.7553977413765; beta = 1.43884943534413; diff = 1.77635683940025e-15; 916/1000
Check failed for (fp64): alpha = 5.76168092668368; beta = 1.44042023167092; diff = 1.77635683940025e-15; 917/1000
Check failed for (fp64): alpha = 5.78053048260522; beta = 1.4451326206513; diff = 3.5527136788005e-15; 920/1000
Check failed for (fp64): alpha = 5.79938003852676; beta = 1.44984500963169; diff = 1.77635683940025e-15; 923/1000
Check failed for (fp64): alpha = 5.83079596506266; beta = 1.45769899126566; diff = 3.5527136788005e-15; 928/1000
Check failed for (fp64): alpha = 5.83707915036984; beta = 1.45926978759246; diff = 3.5527136788005e-15; 929/1000
Check failed for (fp64): alpha = 5.8496455209842; beta = 1.46241138024605; diff = 3.5527136788005e-15; 931/1000
Check failed for (fp64): alpha = 5.85592870629137; beta = 1.46398217657284; diff = 3.5527136788005e-15; 932/1000
Check failed for (fp64): alpha = 5.87477826221291; beta = 1.46869456555323; diff = 3.5527136788005e-15; 935/1000
Check failed for (fp64): alpha = 5.88734463282727; beta = 1.47183615820682; diff = 3.5527136788005e-15; 937/1000
Check failed for (fp64): alpha = 5.89991100344163; beta = 1.47497775086041; diff = 3.5527136788005e-15; 939/1000
Check failed for (fp64): alpha = 5.91876055936317; beta = 1.47969013984079; diff = 3.5527136788005e-15; 942/1000
Check failed for (fp64): alpha = 5.92504374467035; beta = 1.48126093616759; diff = 3.5527136788005e-15; 943/1000
Check failed for (fp64): alpha = 5.94389330059189; beta = 1.48597332514797; diff = 7.105427357601e-15; 946/1000
Check failed for (fp64): alpha = 5.95017648589907; beta = 1.48754412147477; diff = 7.105427357601e-15; 947/1000
Check failed for (fp64): alpha = 5.97530922712779; beta = 1.49382730678195; diff = 7.105427357601e-15; 951/1000
Check failed for (fp64): alpha = 5.98159241243497; beta = 1.49539810310874; diff = 7.105427357601e-15; 952/1000
Check failed for (fp64): alpha = 5.98787559774215; beta = 1.49696889943554; diff = 7.105427357601e-15; 953/1000
Check failed for (fp64): alpha = 6.0004419683565; beta = 1.50011049208913; diff = 7.105427357601e-15; 955/1000
Check failed for (fp64): alpha = 6.00672515366368; beta = 1.50168128841592; diff = 7.105427357601e-15; 956/1000
Check failed for (fp64): alpha = 6.01929152427804; beta = 1.50482288106951; diff = 7.105427357601e-15; 958/1000
Check failed for (fp64): alpha = 6.03814108019958; beta = 1.5095352700499; diff = 1.4210854715202e-14; 961/1000
Check failed for (fp64): alpha = 6.06955700673548; beta = 1.51738925168387; diff = 1.4210854715202e-14; 966/1000
Check failed for (fp64): alpha = 6.08212337734984; beta = 1.52053084433746; diff = 1.4210854715202e-14; 968/1000
Check failed for (fp64): alpha = 6.08840656265702; beta = 1.52210164066425; diff = 1.4210854715202e-14; 969/1000
Check failed for (fp64): alpha = 6.10097293327138; beta = 1.52524323331784; diff = 1.4210854715202e-14; 971/1000
Check failed for (fp64): alpha = 6.11982248919292; beta = 1.52995562229823; diff = 2.8421709430404e-14; 974/1000
Check failed for (fp64): alpha = 6.1261056745001; beta = 1.53152641862502; diff = 2.8421709430404e-14; 975/1000
Check failed for (fp64): alpha = 6.15123841572882; beta = 1.5378096039322; diff = 5.6843418860808e-14; 979/1000
Check failed for (fp64): alpha = 6.15752160103599; beta = 1.539380400259; diff = 2.8421709430404e-14; 980/1000
Check failed for (fp64): alpha = 6.17637115695753; beta = 1.54409278923938; diff = 5.6843418860808e-14; 983/1000
Check failed for (fp64): alpha = 6.18893752757189; beta = 1.54723438189297; diff = 5.6843418860808e-14; 985/1000
Check failed for (fp64): alpha = 6.23291982472215; beta = 1.55822995618054; diff = 2.27373675443232e-13; 992/1000
Check failed for (fp64): alpha = 6.25176938064369; beta = 1.56294234516092; diff = 4.54747350886464e-13; 995/1000
Check failed for (fp64): alpha = 6.25805256595087; beta = 1.56451314148772; diff = 9.09494701772928e-13; 996/1000
Check failed for (fp64): alpha = 6.26433575125805; beta = 1.56608393781451; diff = 1.81898940354586e-12; 997/1000
Check failed for (fp64): alpha = 6.27061893656523; beta = 1.56765473414131; diff = 3.63797880709171e-12; 998/1000
Check failed for (fp64): alpha = 6.27690212187241; beta = 1.5692255304681; diff = 1.45519152283669e-11; 999/1000
Check failed for (fp64): alpha = 6.28318530717959; beta = 1.5707963267949; diff = 9.00719925474099e+15; 1000/1000
Epsilon (fp64): 1.11022e-16
Failed: 551; OK: 1450
