Check failed for (fp64): x = -5.47265440255342; diff = 1.11022302462516e-16; -871/1000
Check failed for (fp64): x = 2.11743344851952; diff = 1.11022302462516e-16; 337/1000
Check failed for (fp64): x = 2.12999981913388; diff = 1.11022302462516e-16; 339/1000
Check failed for (fp64): x = 2.14884937505542; diff = 1.11022302462516e-16; 342/1000
Check failed for (fp64): x = 2.16769893097696; diff = 1.11022302462516e-16; 345/1000
Check failed for (fp64): x = 2.17398211628414; diff = 1.11022302462516e-16; 346/1000
Check failed for (fp64): x = 2.22424759874157; diff = 1.11022302462516e-16; 354/1000
Check failed for (fp64): x = 2.24938033997029; diff = 1.11022302462516e-16; 358/1000
Check failed for (fp64): x = 2.26822989589183; diff = 1.11022302462516e-16; 361/1000
Check failed for (fp64): x = 2.28707945181337; diff = 1.11022302462516e-16; 364/1000
Check failed for (fp64): x = 2.30592900773491; diff = 1.11022302462516e-16; 367/1000
Check failed for (fp64): x = 2.31221219304209; diff = 1.11022302462516e-16; 368/1000
Check failed for (fp64): x = 2.32477856365645; diff = 1.11022302462516e-16; 370/1000
Check failed for (fp64): x = 2.34362811957799; diff = 1.11022302462516e-16; 373/1000
Check failed for (fp64): x = 3.93327400229442; diff = 1.11022302462516e-16; 626/1000
Check failed for (fp64): x = 3.94584037290878; diff = 1.11022302462516e-16; 628/1000
Check failed for (fp64): x = 3.98353948475186; diff = 1.11022302462516e-16; 634/1000
Check failed for (fp64): x = 4.01495541128776; diff = 1.11022302462516e-16; 639/1000
Check failed for (fp64): x = 4.03380496720929; diff = 1.11022302462516e-16; 642/1000
Check failed for (fp64): x = 4.05893770843801; diff = 1.11022302462516e-16; 646/1000
Check failed for (fp64): x = 4.08407044966673; diff = 1.11022302462516e-16; 650/1000
Check failed for (fp64): x = 4.09663682028109; diff = 1.11022302462516e-16; 652/1000
Check failed for (fp64): x = 4.10292000558827; diff = 1.11022302462516e-16; 653/1000
Check failed for (fp64): x = 4.12176956150981; diff = 1.11022302462516e-16; 656/1000
Check failed for (fp64): x = 4.12805274681699; diff = 1.11022302462516e-16; 657/1000
Check failed for (fp64): x = 4.14061911743135; diff = 1.11022302462516e-16; 659/1000
Check failed for (fp64): x = 4.15946867335289; diff = 1.11022302462516e-16; 662/1000
Check failed for (fp64): x = 4.16575185866007; diff = 1.11022302462516e-16; 663/1000
Check failed for (fp64): x = 4.1846014145816; diff = 1.11022302462516e-16; 666/1000
Check failed for (fp64): x = 4.19088459988878; diff = 1.11022302462516e-16; 667/1000
Check failed for (fp64): x = 4.19716778519596; diff = 1.11022302462516e-16; 668/1000
Check failed for (fp64): x = 4.20345097050314; diff = 1.11022302462516e-16; 669/1000
Check failed for (fp64): x = 4.2160173411175; diff = 1.11022302462516e-16; 671/1000
Check failed for (fp64): x = 4.23486689703904; diff = 1.11022302462516e-16; 674/1000
Check failed for (fp64): x = 4.2474332676534; diff = 1.11022302462516e-16; 676/1000
Check failed for (fp64): x = 4.25371645296058; diff = 1.11022302462516e-16; 677/1000
Check failed for (fp64): x = 4.25999963826776; diff = 1.11022302462516e-16; 678/1000
Check failed for (fp64): x = 4.29141556480366; diff = 1.11022302462516e-16; 683/1000
Check failed for (fp64): x = 4.3102651207252; diff = 1.11022302462516e-16; 686/1000
Check failed for (fp64): x = 4.32283149133955; diff = 1.11022302462516e-16; 688/1000
Check failed for (fp64): x = 4.32911467664673; diff = 1.11022302462516e-16; 689/1000
Check failed for (fp64): x = 4.34168104726109; diff = 1.11022302462516e-16; 691/1000
Check failed for (fp64): x = 4.34796423256827; diff = 1.11022302462516e-16; 692/1000
Check failed for (fp64): x = 4.36053060318263; diff = 1.11022302462516e-16; 694/1000
Check failed for (fp64): x = 4.36681378848981; diff = 1.11022302462516e-16; 695/1000
Check failed for (fp64): x = 4.38566334441135; diff = 1.11022302462516e-16; 698/1000
Check failed for (fp64): x = 4.41707927094725; diff = 1.11022302462516e-16; 703/1000
Check failed for (fp64): x = 4.42964564156161; diff = 1.11022302462516e-16; 705/1000
Check failed for (fp64): x = 4.44849519748315; diff = 1.11022302462516e-16; 708/1000
Check failed for (fp64): x = 4.46734475340469; diff = 1.11022302462516e-16; 711/1000
Check failed for (fp64): x = 4.48619430932622; diff = 1.11022302462516e-16; 714/1000
Check failed for (fp64): x = 4.49876067994058; diff = 1.11022302462516e-16; 716/1000
Check failed for (fp64): x = 4.51132705055494; diff = 1.11022302462516e-16; 718/1000
Check failed for (fp64): x = 4.5238934211693; diff = 1.11022302462516e-16; 720/1000
Check failed for (fp64): x = 4.53645979178366; diff = 1.11022302462516e-16; 722/1000
Check failed for (fp64): x = 4.54274297709084; diff = 1.11022302462516e-16; 723/1000
Check failed for (fp64): x = 4.54902616239802; diff = 1.11022302462516e-16; 724/1000
Check failed for (fp64): x = 4.5553093477052; diff = 1.11022302462516e-16; 725/1000
Check failed for (fp64): x = 4.56159253301238; diff = 1.11022302462516e-16; 726/1000
Check failed for (fp64): x = 4.57415890362674; diff = 1.11022302462516e-16; 728/1000
Check failed for (fp64): x = 4.5867252742411; diff = 1.11022302462516e-16; 730/1000
Check failed for (fp64): x = 4.618141200777; diff = 1.11022302462516e-16; 735/1000
Check failed for (fp64): x = 4.64327394200571; diff = 1.11022302462516e-16; 739/1000
Check failed for (fp64): x = 4.64955712731289; diff = 1.11022302462516e-16; 740/1000
Check failed for (fp64): x = 4.68097305384879; diff = 1.11022302462516e-16; 745/1000
Check failed for (fp64): x = 4.68725623915597; diff = 1.11022302462516e-16; 746/1000
Check failed for (fp64): x = 4.69353942446315; diff = 1.11022302462516e-16; 747/1000
Check failed for (fp64): x = 4.70610579507751; diff = 1.11022302462516e-16; 749/1000
Check failed for (fp64): x = 4.71867216569187; diff = 1.11022302462516e-16; 751/1000
Check failed for (fp64): x = 4.73123853630623; diff = 2.22044604925031e-16; 753/1000
Check failed for (fp64): x = 4.73752172161341; diff = 1.11022302462516e-16; 754/1000
Check failed for (fp64): x = 4.74380490692059; diff = 1.11022302462516e-16; 755/1000
Check failed for (fp64): x = 4.75637127753495; diff = 1.11022302462516e-16; 757/1000
Check failed for (fp64): x = 4.77522083345649; diff = 1.11022302462516e-16; 760/1000
Check failed for (fp64): x = 4.78150401876367; diff = 1.11022302462516e-16; 761/1000
Check failed for (fp64): x = 4.78778720407084; diff = 1.11022302462516e-16; 762/1000
Check failed for (fp64): x = 4.81920313060674; diff = 2.22044604925031e-16; 767/1000
Check failed for (fp64): x = 4.82548631591392; diff = 1.11022302462516e-16; 768/1000
Check failed for (fp64): x = 4.8317695012211; diff = 1.11022302462516e-16; 769/1000
Check failed for (fp64): x = 4.83805268652828; diff = 1.11022302462516e-16; 770/1000
Check failed for (fp64): x = 4.84433587183546; diff = 1.11022302462516e-16; 771/1000
Check failed for (fp64): x = 4.85690224244982; diff = 1.11022302462516e-16; 773/1000
Check failed for (fp64): x = 4.90088453960008; diff = 1.11022302462516e-16; 780/1000
Check failed for (fp64): x = 4.90716772490726; diff = 1.11022302462516e-16; 781/1000
Check failed for (fp64): x = 4.91345091021444; diff = 1.11022302462516e-16; 782/1000
Check failed for (fp64): x = 4.93858365144315; diff = 1.11022302462516e-16; 786/1000
Check failed for (fp64): x = 4.94486683675034; diff = 1.11022302462516e-16; 787/1000
Check failed for (fp64): x = 4.95115002205751; diff = 1.11022302462516e-16; 788/1000
Check failed for (fp64): x = 4.97628276328623; diff = 1.11022302462516e-16; 792/1000
Check failed for (fp64): x = 5.00141550451495; diff = 1.11022302462516e-16; 796/1000
Check failed for (fp64): x = 5.00769868982213; diff = 1.11022302462516e-16; 797/1000
Check failed for (fp64): x = 5.05168098697239; diff = 2.22044604925031e-16; 804/1000
Check failed for (fp64): x = 5.05796417227957; diff = 1.11022302462516e-16; 805/1000
Check failed for (fp64): x = 5.06424735758675; diff = 1.11022302462516e-16; 806/1000
Check failed for (fp64): x = 5.07053054289393; diff = 1.11022302462516e-16; 807/1000
Check failed for (fp64): x = 5.07681372820111; diff = 1.11022302462516e-16; 808/1000
Check failed for (fp64): x = 5.08938009881547; diff = 1.11022302462516e-16; 810/1000
Check failed for (fp64): x = 5.09566328412264; diff = 1.11022302462516e-16; 811/1000
Check failed for (fp64): x = 5.10194646942982; diff = 1.11022302462516e-16; 812/1000
Check failed for (fp64): x = 5.108229654737; diff = 1.11022302462516e-16; 813/1000
Check failed for (fp64): x = 5.12079602535136; diff = 1.11022302462516e-16; 815/1000
Check failed for (fp64): x = 5.1396455812729; diff = 1.11022302462516e-16; 818/1000
Check failed for (fp64): x = 5.14592876658008; diff = 1.11022302462516e-16; 819/1000
Check failed for (fp64): x = 5.15849513719444; diff = 1.11022302462516e-16; 821/1000
Check failed for (fp64): x = 5.16477832250162; diff = 1.11022302462516e-16; 822/1000
Check failed for (fp64): x = 5.18991106373034; diff = 1.11022302462516e-16; 826/1000
Check failed for (fp64): x = 5.21504380495906; diff = 1.11022302462516e-16; 830/1000
Check failed for (fp64): x = 5.22132699026624; diff = 1.11022302462516e-16; 831/1000
Check failed for (fp64): x = 5.23389336088059; diff = 1.11022302462516e-16; 833/1000
Check failed for (fp64): x = 5.24645973149495; diff = 1.11022302462516e-16; 835/1000
Check failed for (fp64): x = 5.25902610210931; diff = 1.11022302462516e-16; 837/1000
Check failed for (fp64): x = 5.26530928741649; diff = 1.11022302462516e-16; 838/1000
Check failed for (fp64): x = 5.27159247272367; diff = 1.11022302462516e-16; 839/1000
Check failed for (fp64): x = 5.27787565803085; diff = 1.11022302462516e-16; 840/1000
Check failed for (fp64): x = 5.28415884333803; diff = 1.11022302462516e-16; 841/1000
Check failed for (fp64): x = 5.29044202864521; diff = 1.11022302462516e-16; 842/1000
Check failed for (fp64): x = 5.30300839925957; diff = 1.11022302462516e-16; 844/1000
Check failed for (fp64): x = 5.32185795518111; diff = 1.11022302462516e-16; 847/1000
Check failed for (fp64): x = 5.33442432579547; diff = 1.11022302462516e-16; 849/1000
Check failed for (fp64): x = 5.34699069640983; diff = 1.11022302462516e-16; 851/1000
Check failed for (fp64): x = 5.36584025233137; diff = 1.11022302462516e-16; 854/1000
Check failed for (fp64): x = 5.37212343763855; diff = 1.11022302462516e-16; 855/1000
Check failed for (fp64): x = 5.37840662294573; diff = 1.11022302462516e-16; 856/1000
Check failed for (fp64): x = 5.38468980825291; diff = 1.11022302462516e-16; 857/1000
Check failed for (fp64): x = 5.39097299356008; diff = 1.11022302462516e-16; 858/1000
Check failed for (fp64): x = 5.4161057347888; diff = 1.11022302462516e-16; 862/1000
Check failed for (fp64): x = 5.45380484663188; diff = 1.11022302462516e-16; 868/1000
Check failed for (fp64): x = 5.46008803193906; diff = 1.11022302462516e-16; 869/1000
Check failed for (fp64): x = 5.47265440255342; diff = 1.11022302462516e-16; 871/1000
Epsilon (fp64): 1.11022e-16
Failed: 460; OK: 1541
